notebook,config_path,start_at,end_at,duration_sec,outputs,warnings,git_commit,python_version
04_training,configs/experiment.yaml,2026-06-09T05:47:17+00:00,2026-06-09T08:37:09+00:00,10192.79,models\bert-sentiment | reports\training_bert_sentiment.log | models\roberta-sentiment | reports\training_roberta_sentiment.log | models\distilbert-sentiment | reports\training_distilbert_sentiment.log | models\bert-toxicity | reports\training_bert_toxicity.log | models\roberta-toxicity | reports\training_roberta_toxicity.log | models\distilbert-toxicity | reports\training_distilbert_toxicity.log | models\detoxify\manifest.json | configs\experiment.yaml,Only 64 distinct negative training messages — negative class is data-limited.,da158c0,3.10.0
05_inference,configs/experiment.yaml,2026-06-09T10:16:32+00:00,2026-06-09T10:16:43+00:00,11.51,data\inference\bert_sentiment\2016.parquet | data\inference\bert_sentiment\2017.parquet | data\inference\bert_sentiment\2018.parquet | data\inference\bert_sentiment\2019.parquet | data\inference\bert_sentiment\2020.parquet | data\inference\bert_sentiment\2021.parquet | data\inference\bert_sentiment\2022.parquet | data\inference\bert_sentiment\2023.parquet | data\inference\bert_sentiment\2024.parquet | data\inference\bert_sentiment\2025.parquet | data\inference\bert_sentiment\202601.parquet | data\inference\bert_sentiment\202602.parquet | data\inference\bert_sentiment\202603.parquet | data\inference\bert_sentiment\202604.parquet | data\inference\bert_toxicity\2016.parquet | data\inference\bert_toxicity\2017.parquet | data\inference\bert_toxicity\2018.parquet | data\inference\bert_toxicity\2019.parquet | data\inference\bert_toxicity\2020.parquet | data\inference\bert_toxicity\2021.parquet | data\inference\bert_toxicity\2022.parquet | data\inference\bert_toxicity\2023.parquet | data\inference\bert_toxicity\2024.parquet | data\inference\bert_toxicity\2025.parquet | data\inference\bert_toxicity\202601.parquet | data\inference\bert_toxicity\202602.parquet | data\inference\bert_toxicity\202603.parquet | data\inference\bert_toxicity\202604.parquet | data\inference\roberta_sentiment\2016.parquet | data\inference\roberta_sentiment\2017.parquet | data\inference\roberta_sentiment\2018.parquet | data\inference\roberta_sentiment\2019.parquet | data\inference\roberta_sentiment\2020.parquet | data\inference\roberta_sentiment\2021.parquet | data\inference\roberta_sentiment\2022.parquet | data\inference\roberta_sentiment\2023.parquet | data\inference\roberta_sentiment\2024.parquet | data\inference\roberta_sentiment\2025.parquet | data\inference\roberta_sentiment\202601.parquet | data\inference\roberta_sentiment\202602.parquet | data\inference\roberta_sentiment\202603.parquet | data\inference\roberta_sentiment\202604.parquet | data\inference\roberta_toxicity\2016.parquet | data\inference\roberta_toxicity\2017.parquet | data\inference\roberta_toxicity\2018.parquet | data\inference\roberta_toxicity\2019.parquet | data\inference\roberta_toxicity\2020.parquet | data\inference\roberta_toxicity\2021.parquet | data\inference\roberta_toxicity\2022.parquet | data\inference\roberta_toxicity\2023.parquet | data\inference\roberta_toxicity\2024.parquet | data\inference\roberta_toxicity\2025.parquet | data\inference\roberta_toxicity\202601.parquet | data\inference\roberta_toxicity\202602.parquet | data\inference\roberta_toxicity\202603.parquet | data\inference\roberta_toxicity\202604.parquet | data\inference\distilbert_sentiment\2016.parquet | data\inference\distilbert_sentiment\2017.parquet | data\inference\distilbert_sentiment\2018.parquet | data\inference\distilbert_sentiment\2019.parquet | data\inference\distilbert_sentiment\2020.parquet | data\inference\distilbert_sentiment\2021.parquet | data\inference\distilbert_sentiment\2022.parquet | data\inference\distilbert_sentiment\2023.parquet | data\inference\distilbert_sentiment\2024.parquet | data\inference\distilbert_sentiment\2025.parquet | data\inference\distilbert_sentiment\202601.parquet | data\inference\distilbert_sentiment\202602.parquet | data\inference\distilbert_sentiment\202603.parquet | data\inference\distilbert_sentiment\202604.parquet | data\inference\distilbert_toxicity\2016.parquet | data\inference\distilbert_toxicity\2017.parquet | data\inference\distilbert_toxicity\2018.parquet | data\inference\distilbert_toxicity\2019.parquet | data\inference\distilbert_toxicity\2020.parquet | data\inference\distilbert_toxicity\2021.parquet | data\inference\distilbert_toxicity\2022.parquet | data\inference\distilbert_toxicity\2023.parquet | data\inference\distilbert_toxicity\2024.parquet | data\inference\distilbert_toxicity\2025.parquet | data\inference\distilbert_toxicity\202601.parquet | data\inference\distilbert_toxicity\202602.parquet | data\inference\distilbert_toxicity\202603.parquet | data\inference\distilbert_toxicity\202604.parquet | data\inference\detoxify_toxicity\2016.parquet | data\inference\detoxify_toxicity\2017.parquet | data\inference\detoxify_toxicity\2018.parquet | data\inference\detoxify_toxicity\2019.parquet | data\inference\detoxify_toxicity\2020.parquet | data\inference\detoxify_toxicity\2021.parquet | data\inference\detoxify_toxicity\2022.parquet | data\inference\detoxify_toxicity\2023.parquet | data\inference\detoxify_toxicity\2024.parquet | data\inference\detoxify_toxicity\2025.parquet | data\inference\detoxify_toxicity\202601.parquet | data\inference\detoxify_toxicity\202602.parquet | data\inference\detoxify_toxicity\202603.parquet | data\inference\detoxify_toxicity\202604.parquet,,da158c0,3.10.0
06_comparative_evaluation,configs/experiment.yaml,2026-06-09T10:38:24+00:00,2026-06-09T10:38:59+00:00,35.48,reports\eval_sentiment.csv | reports\eval_toxicity.csv | reports\jargon_error_breakdown.csv | reports\comparison_summary.md,,da158c0,3.10.0
07_temporal_analysis,configs/experiment.yaml,2026-06-09T10:41:19+00:00,2026-06-09T10:41:34+00:00,14.96,reports\temporal_monthly.csv | reports\temporal_yearly.csv | reports\plots\temporal_sentiment_monthly.png | reports\plots\temporal_negative_pct_monthly.png | reports\plots\temporal_toxicity_monthly.png | reports\plots\temporal_toxicity_score_monthly.png | reports\temporal_tests.csv | reports\event_comparison.csv,,da158c0,3.10.0
08_correlation_analysis,configs/experiment.yaml,2026-06-09T10:46:07+00:00,2026-06-09T10:46:49+00:00,41.48,reports\correlation_tests.csv | reports\plots\correlation_duration_toxicity.png | reports\plots\correlation_outcome_sentiment.png | reports\plots\correlation_outcome_toxicity.png | reports\plots\correlation_phase_toxicity.png | reports\plots\correlation_tier_toxicity.png | reports\correlation_robustness_per_match.csv | reports\correlation_summary.md,,da158c0,3.10.0
09_imbalance_metrics,configs/experiment.yaml,2026-06-09T11:59:41+00:00,2026-06-09T12:00:33+00:00,51.9,reports\eval_imbalance_sentiment.csv | reports\eval_imbalance_toxicity.csv,,da158c0,3.10.0
04_training,configs/experiment.yaml,2026-06-10T01:42:31+00:00,2026-06-10T04:44:41+00:00,10929.95,models\bert-sentiment | reports\training_bert_sentiment.log | models\roberta-sentiment | reports\training_roberta_sentiment.log | models\distilbert-sentiment | reports\training_distilbert_sentiment.log | models\bert-toxicity | reports\training_bert_toxicity.log | models\roberta-toxicity | reports\training_roberta_toxicity.log | models\distilbert-toxicity | reports\training_distilbert_toxicity.log | models\detoxify\manifest.json | configs\experiment.yaml,Only 64 distinct negative training messages — negative class is data-limited.,da158c0,3.10.0
05_inference,configs/experiment.yaml,2026-06-10T06:10:49+00:00,2026-06-10T06:11:01+00:00,11.86,data\inference\bert_sentiment\2016.parquet | data\inference\bert_sentiment\2017.parquet | data\inference\bert_sentiment\2018.parquet | data\inference\bert_sentiment\2019.parquet | data\inference\bert_sentiment\2020.parquet | data\inference\bert_sentiment\2021.parquet | data\inference\bert_sentiment\2022.parquet | data\inference\bert_sentiment\2023.parquet | data\inference\bert_sentiment\2024.parquet | data\inference\bert_sentiment\2025.parquet | data\inference\bert_sentiment\202601.parquet | data\inference\bert_sentiment\202602.parquet | data\inference\bert_sentiment\202603.parquet | data\inference\bert_sentiment\202604.parquet | data\inference\bert_toxicity\2016.parquet | data\inference\bert_toxicity\2017.parquet | data\inference\bert_toxicity\2018.parquet | data\inference\bert_toxicity\2019.parquet | data\inference\bert_toxicity\2020.parquet | data\inference\bert_toxicity\2021.parquet | data\inference\bert_toxicity\2022.parquet | data\inference\bert_toxicity\2023.parquet | data\inference\bert_toxicity\2024.parquet | data\inference\bert_toxicity\2025.parquet | data\inference\bert_toxicity\202601.parquet | data\inference\bert_toxicity\202602.parquet | data\inference\bert_toxicity\202603.parquet | data\inference\bert_toxicity\202604.parquet | data\inference\roberta_sentiment\2016.parquet | data\inference\roberta_sentiment\2017.parquet | data\inference\roberta_sentiment\2018.parquet | data\inference\roberta_sentiment\2019.parquet | data\inference\roberta_sentiment\2020.parquet | data\inference\roberta_sentiment\2021.parquet | data\inference\roberta_sentiment\2022.parquet | data\inference\roberta_sentiment\2023.parquet | data\inference\roberta_sentiment\2024.parquet | data\inference\roberta_sentiment\2025.parquet | data\inference\roberta_sentiment\202601.parquet | data\inference\roberta_sentiment\202602.parquet | data\inference\roberta_sentiment\202603.parquet | data\inference\roberta_sentiment\202604.parquet | data\inference\roberta_toxicity\2016.parquet | data\inference\roberta_toxicity\2017.parquet | data\inference\roberta_toxicity\2018.parquet | data\inference\roberta_toxicity\2019.parquet | data\inference\roberta_toxicity\2020.parquet | data\inference\roberta_toxicity\2021.parquet | data\inference\roberta_toxicity\2022.parquet | data\inference\roberta_toxicity\2023.parquet | data\inference\roberta_toxicity\2024.parquet | data\inference\roberta_toxicity\2025.parquet | data\inference\roberta_toxicity\202601.parquet | data\inference\roberta_toxicity\202602.parquet | data\inference\roberta_toxicity\202603.parquet | data\inference\roberta_toxicity\202604.parquet | data\inference\distilbert_sentiment\2016.parquet | data\inference\distilbert_sentiment\2017.parquet | data\inference\distilbert_sentiment\2018.parquet | data\inference\distilbert_sentiment\2019.parquet | data\inference\distilbert_sentiment\2020.parquet | data\inference\distilbert_sentiment\2021.parquet | data\inference\distilbert_sentiment\2022.parquet | data\inference\distilbert_sentiment\2023.parquet | data\inference\distilbert_sentiment\2024.parquet | data\inference\distilbert_sentiment\2025.parquet | data\inference\distilbert_sentiment\202601.parquet | data\inference\distilbert_sentiment\202602.parquet | data\inference\distilbert_sentiment\202603.parquet | data\inference\distilbert_sentiment\202604.parquet | data\inference\distilbert_toxicity\2016.parquet | data\inference\distilbert_toxicity\2017.parquet | data\inference\distilbert_toxicity\2018.parquet | data\inference\distilbert_toxicity\2019.parquet | data\inference\distilbert_toxicity\2020.parquet | data\inference\distilbert_toxicity\2021.parquet | data\inference\distilbert_toxicity\2022.parquet | data\inference\distilbert_toxicity\2023.parquet | data\inference\distilbert_toxicity\2024.parquet | data\inference\distilbert_toxicity\2025.parquet | data\inference\distilbert_toxicity\202601.parquet | data\inference\distilbert_toxicity\202602.parquet | data\inference\distilbert_toxicity\202603.parquet | data\inference\distilbert_toxicity\202604.parquet | data\inference\detoxify_toxicity\2016.parquet | data\inference\detoxify_toxicity\2017.parquet | data\inference\detoxify_toxicity\2018.parquet | data\inference\detoxify_toxicity\2019.parquet | data\inference\detoxify_toxicity\2020.parquet | data\inference\detoxify_toxicity\2021.parquet | data\inference\detoxify_toxicity\2022.parquet | data\inference\detoxify_toxicity\2023.parquet | data\inference\detoxify_toxicity\2024.parquet | data\inference\detoxify_toxicity\2025.parquet | data\inference\detoxify_toxicity\202601.parquet | data\inference\detoxify_toxicity\202602.parquet | data\inference\detoxify_toxicity\202603.parquet | data\inference\detoxify_toxicity\202604.parquet,,da158c0,3.10.0
06_comparative_evaluation,configs/experiment.yaml,2026-06-10T06:40:52+00:00,2026-06-10T06:41:29+00:00,37.1,reports\eval_sentiment.csv | reports\eval_toxicity.csv | reports\jargon_error_breakdown.csv | reports\comparison_summary.md,,da158c0,3.10.0
09_imbalance_metrics,configs/experiment.yaml,2026-06-10T07:16:26+00:00,2026-06-10T07:17:13+00:00,46.8,reports\eval_imbalance_sentiment.csv | reports\eval_imbalance_toxicity.csv,,da158c0,3.10.0
10_dataset_characteristics,configs/experiment.yaml,2026-06-10T08:46:34+00:00,2026-06-10T08:46:37+00:00,2.59,reports\plots\dataset_annual_volume.png | reports\plots\dataset_tier_distribution.png | reports\plots\dataset_sentiment_distribution.png | reports\plots\dataset_toxicity_distribution.png | reports\plots\dataset_language_split.png | reports\plots\dataset_characteristics_panel.png,,da158c0,3.10.0
10_dataset_characteristics,configs/experiment.yaml,2026-06-10T08:47:23+00:00,2026-06-10T08:47:27+00:00,4.18,reports\plots\dataset_annual_volume.png | reports\plots\dataset_tier_distribution.png | reports\plots\dataset_sentiment_distribution.png | reports\plots\dataset_toxicity_distribution.png | reports\plots\dataset_language_split.png | reports\plots\dataset_characteristics_panel.png,,da158c0,3.10.0
